team,media_home_goals,media_sofridos_home_goals,media_home_corners,media_sofridos_home_corners,media_home_shots-off-target,media_sofridos_home_shots-off-target,media_home_shots-total,media_sofridos_home_shots-total,media_home_attacks,media_sofridos_home_attacks,media_home_dangerous-attacks,media_sofridos_home_dangerous-attacks,media_home_ball-possession,media_sofridos_home_ball-possession,media_home_penalties,media_sofridos_home_penalties,media_home_shots-insidebox,media_sofridos_home_shots-insidebox,media_home_shots-outsidebox,media_sofridos_home_shots-outsidebox,media_home_offsides,media_sofridos_home_offsides,media_home_goals-kicks,media_sofridos_home_goals-kicks,media_home_goal-attempts,media_sofridos_home_goal-attempts,media_home_fouls,media_sofridos_home_fouls,media_home_saves,media_sofridos_home_saves,media_home_yellowcards,media_sofridos_home_yellowcards,media_prob_home_home_pinacle,media_prob_home_draw_pinacle,media_prob_home_away_pinacle,media_prob_home_btts_pinacle,media_prob_home_no_btts_pinacle,media_prob_home_over_pinnacle_2,media_prob_home_under_pinnacle_2,media_prob_home_over_pinnacle_2_25,media_prob_home_under_pinnacle_2_25,media_prob_home_over_pinnacle_2_5,media_prob_home_under_pinnacle_2_5,media_prob_home_bet365_home,media_prob_home_bet365_draw,media_prob_home_bet365_away,media_prob_home_btts_bet365_no,media_prob_home_btts_bet365_yes,media_prob_home_over_bet365_2_0,media_prob_home_under_bet365_2_0,"media_prob_home_over_bet365_2_0, 2_5","media_prob_home_under_bet365_2_0, 2_5",media_prob_home_over_bet365_2_5,media_prob_home_under_bet365_2_5,name_league,ano,media_sofridos_away_goals,media_away_goals,media_sofridos_away_corners,media_away_corners,media_sofridos_away_shots-off-target,media_away_shots-off-target,media_sofridos_away_shots-total,media_away_shots-total,media_sofridos_away_attacks,media_away_attacks,media_sofridos_away_dangerous-attacks,media_away_dangerous-attacks,media_sofridos_away_ball-possession,media_away_ball-possession,media_sofridos_away_penalties,media_away_penalties,media_sofridos_away_shots-insidebox,media_away_shots-insidebox,media_sofridos_away_shots-outsidebox,media_away_shots-outsidebox,media_sofridos_away_offsides,media_away_offsides,media_sofridos_away_goals-kicks,media_away_goals-kicks,media_sofridos_away_goal-attempts,media_away_goal-attempts,media_sofridos_away_fouls,media_away_fouls,media_sofridos_away_saves,media_away_saves,media_sofridos_away_yellowcards,media_away_yellowcards,media_prob_away_home_pinacle,media_prob_away_draw_pinacle,media_prob_away_away_pinacle,media_prob_away_btts_pinacle,media_prob_away_no_btts_pinacle,media_prob_away_over_pinnacle_2,media_prob_away_under_pinnacle_2,media_prob_away_over_pinnacle_2_25,media_prob_away_under_pinnacle_2_25,media_prob_away_over_pinnacle_2_5,media_prob_away_under_pinnacle_2_5,media_prob_away_bet365_home,media_prob_away_bet365_draw,media_prob_away_bet365_away,media_prob_away_btts_bet365_no,media_prob_away_btts_bet365_yes,media_prob_away_over_bet365_2_0,media_prob_away_under_bet365_2_0,"media_prob_away_over_bet365_2_0, 2_5","media_prob_away_under_bet365_2_0, 2_5",media_prob_away_over_bet365_2_5,media_prob_away_under_bet365_2_5
Angers SCO,1.17,0.67,4.83,5.0,3.17,5.0,10.17,14.17,77.33,116.83,34.83,54.0,42.33,57.67,0.0,1.0,5.83,7.83,4.33,6.17,1.6,1.4,9.0,6.5,6.33,8.5,14.0,11.33,4.33,2.83,1.67,1.33,0.29,0.3,0.44,0.52,0.52,0.55,0.48,0.51,0.52,0.51,0.52,0.3,0.3,0.45,0.54,0.54,0.56,0.49,0.53,0.52,0.51,0.53,France Ligue 1,2025-2026,1.83,0.5,5.83,3.17,6.0,2.83,15.0,7.67,140.83,62.17,65.17,23.83,64.17,35.83,1.0,0.5,9.67,5.17,5.33,2.5,1.17,2.17,5.0,8.5,11.33,4.5,10.33,9.0,2.0,4.0,1.4,1.2,0.69,0.2,0.14,0.48,0.56,,,0.55,0.48,0.5,0.53,0.71,0.2,0.15,0.58,0.49,,,0.56,0.5,0.52,0.53
Auxerre,0.67,1.0,5.0,4.33,4.0,4.5,10.5,10.33,93.5,95.33,40.0,40.5,45.67,54.33,0.5,0.5,6.5,8.33,4.0,2.0,0.4,1.8,5.5,7.67,6.33,6.33,14.17,16.67,2.17,2.0,2.5,4.5,0.3,0.28,0.46,0.56,0.47,,,0.53,0.49,0.51,0.52,0.31,0.28,0.46,0.49,0.58,,,0.54,0.51,0.52,0.53,France Ligue 1,2025-2026,2.17,0.5,4.33,4.33,5.0,3.33,13.5,10.5,92.5,88.83,38.67,36.83,54.83,45.17,0.0,1.0,8.5,6.33,5.0,4.17,1.33,2.5,4.5,7.17,9.83,6.33,13.17,13.5,3.5,4.5,1.33,2.17,0.54,0.26,0.23,0.53,0.5,0.55,0.48,0.52,0.52,0.51,0.52,0.56,0.26,0.24,0.53,0.54,0.56,0.48,0.55,0.5,0.52,0.52
Brest,2.0,2.25,6.0,3.67,5.83,4.0,15.0,11.0,92.83,103.33,40.17,43.67,42.67,57.33,1.0,0.0,9.33,7.0,5.67,3.83,1.5,1.67,7.67,8.83,8.83,7.67,13.17,10.33,2.5,3.17,1.17,1.5,0.33,0.27,0.43,0.58,0.45,,,0.54,0.5,0.52,0.52,0.34,0.27,0.44,0.48,0.59,,,0.53,0.51,0.52,0.52,France Ligue 1,2025-2026,2.0,1.0,7.5,3.17,5.33,3.33,15.17,8.67,94.0,86.33,46.0,38.0,55.33,44.67,0.5,0.5,11.17,6.33,4.0,2.33,2.17,1.0,6.17,7.5,9.67,5.17,11.33,11.83,1.67,3.33,1.0,1.83,0.43,0.28,0.31,0.55,0.49,,,0.48,0.54,0.5,0.53,0.45,0.29,0.32,0.51,0.56,0.56,0.48,0.5,0.55,0.51,0.54
LOSC Lille,1.83,0.67,6.17,4.67,7.0,3.5,16.5,8.83,105.5,82.83,56.33,33.0,54.67,45.33,1.0,0.0,11.67,5.67,4.83,3.33,1.17,1.0,5.83,8.83,10.67,6.17,13.0,13.67,2.33,2.67,2.0,2.17,0.51,0.24,0.28,0.57,0.47,,,,,0.52,0.5,0.52,0.25,0.29,0.49,0.59,,,,,0.53,0.51,France Ligue 1,2025-2026,1.83,2.0,2.83,7.67,4.5,4.83,10.0,16.17,71.17,114.5,28.5,62.83,39.33,60.67,1.0,0.0,6.33,10.83,3.67,5.33,2.0,1.2,8.5,7.33,7.17,9.17,12.0,13.5,3.67,1.67,2.33,2.83,0.32,0.27,0.44,0.6,0.44,,,0.53,0.5,0.53,0.5,0.33,0.28,0.44,0.48,0.6,,,0.54,0.5,0.53,0.52
Le Havre,1.5,1.17,4.83,2.5,6.0,2.67,13.83,7.17,98.67,88.0,54.67,35.17,52.0,48.0,0.5,0.5,8.83,4.5,5.0,2.67,2.75,1.5,6.17,9.67,8.5,5.17,15.0,13.33,1.67,2.5,2.0,3.17,0.36,0.29,0.37,0.55,0.49,,,0.51,0.52,0.51,0.52,0.37,0.3,0.38,0.52,0.55,,,0.51,0.53,0.52,0.53,France Ligue 1,2025-2026,2.5,1.0,6.33,3.5,4.83,3.83,13.33,9.17,103.0,80.0,59.5,36.5,57.83,42.17,1.0,0.0,9.33,4.5,4.0,4.67,1.67,1.83,6.17,8.0,8.5,4.83,13.17,14.0,2.17,2.67,1.5,1.67,0.59,0.24,0.2,0.52,0.52,,,0.54,0.49,0.5,0.53,0.6,0.25,0.21,0.53,0.54,,,0.53,0.51,0.54,0.5
Lens,2.17,0.67,8.83,6.0,5.67,4.5,15.17,12.5,83.83,96.0,44.67,40.67,48.83,51.17,0.67,0.33,11.83,8.83,3.33,3.67,3.0,0.83,4.83,8.83,10.0,6.5,11.33,11.33,2.17,3.5,1.83,2.67,0.49,0.27,0.28,0.61,0.43,,,,,0.54,0.48,0.5,0.27,0.29,0.47,0.61,,,,,0.55,0.5,France Ligue 1,2025-2026,1.4,1.6,4.67,3.0,6.17,4.33,16.0,11.17,115.33,76.33,58.17,34.83,57.5,42.5,1.0,0.33,10.0,7.83,6.0,3.33,1.0,1.4,5.67,9.33,8.33,7.0,13.83,14.67,2.83,3.5,2.33,2.83,0.38,0.24,0.41,0.61,0.43,,,,,0.55,0.49,0.39,0.24,0.42,0.46,0.61,,,0.52,0.52,0.53,0.51
Lorient,2.17,2.17,3.17,4.67,4.83,2.67,12.33,9.67,79.5,117.5,46.67,52.83,43.5,56.5,0.5,0.75,8.0,6.0,4.33,3.67,2.67,1.33,5.83,6.0,7.0,5.83,10.5,13.67,2.83,2.5,2.33,2.33,0.28,0.27,0.49,0.57,0.47,,,0.51,0.51,0.5,0.53,0.28,0.27,0.51,0.49,0.58,,,0.52,0.52,0.51,0.53,France Ligue 1,2025-2026,2.17,0.17,4.83,3.83,3.83,4.5,10.17,11.5,110.67,94.83,45.5,41.17,55.0,45.0,0.5,0.5,7.33,7.67,2.83,3.83,1.2,1.0,6.5,6.17,6.17,6.5,16.17,10.0,2.83,1.67,2.0,2.5,0.52,0.27,0.24,0.53,0.5,0.55,0.48,0.51,0.51,0.53,0.51,0.53,0.27,0.25,0.53,0.54,0.55,0.5,0.54,0.51,0.52,0.53
Metz,1.0,1.2,3.83,4.0,3.67,5.0,7.83,11.83,74.67,109.67,36.0,44.17,46.5,53.5,1.0,0.33,4.83,6.17,3.0,5.67,1.0,2.2,8.17,5.5,5.5,8.5,12.83,12.83,3.17,1.5,1.8,2.2,0.29,0.26,0.48,0.58,0.46,,,0.54,0.48,0.52,0.52,0.3,0.27,0.49,0.49,0.58,,,0.54,0.51,0.52,0.52,France Ligue 1,2025-2026,3.5,1.17,7.0,4.67,7.0,4.0,18.0,9.83,95.17,78.83,51.33,29.67,49.5,50.5,0.67,0.33,13.33,7.0,4.67,2.83,1.17,1.33,5.83,10.0,13.17,6.67,12.0,10.0,2.17,4.33,1.33,1.33,0.66,0.21,0.16,0.55,0.49,,,0.54,0.5,0.53,0.5,0.67,0.22,0.17,0.51,0.56,,,0.55,0.5,0.52,0.52
Monaco,2.14,1.71,4.43,4.57,5.86,3.43,14.43,11.0,109.57,87.29,50.0,38.71,55.0,45.0,1.0,0.75,10.29,7.86,4.14,3.14,3.5,1.17,6.71,9.43,11.0,6.0,11.86,12.86,2.14,2.86,1.57,1.86,0.61,0.22,0.2,0.62,0.42,,,,,,,0.63,0.22,0.21,0.46,0.61,,,,,,,France Ligue 1,2025-2026,1.8,1.8,5.2,4.2,6.8,4.8,16.0,10.8,94.4,112.8,42.6,48.6,44.0,56.0,0.5,0.5,9.6,9.2,6.4,1.6,0.5,1.0,7.8,7.0,8.8,7.4,11.4,15.0,2.2,2.2,2.2,4.0,0.23,0.25,0.56,0.61,0.43,,,,,0.54,0.49,0.23,0.25,0.58,0.46,0.62,,,,,0.54,0.51
Nantes,1.0,2.0,3.83,6.17,4.67,6.33,11.17,16.0,77.83,105.0,31.5,55.0,42.0,58.0,1.0,1.0,6.33,12.17,4.83,3.83,0.6,3.0,10.17,7.83,7.33,11.33,10.67,11.5,3.5,2.0,1.67,3.0,0.26,0.25,0.53,0.55,0.49,,,0.55,0.48,0.51,0.52,0.27,0.26,0.53,0.51,0.57,0.56,0.48,0.56,0.49,0.51,0.53,France Ligue 1,2025-2026,1.2,1.0,7.17,3.67,6.83,3.67,17.0,9.5,105.17,73.67,58.33,24.17,56.33,43.67,1.0,0.0,11.17,5.5,5.83,4.0,4.5,1.67,5.17,9.0,9.67,4.33,13.5,12.17,1.17,4.17,2.33,1.83,0.57,0.26,0.19,0.52,0.51,,,0.54,0.49,0.51,0.52,0.58,0.27,0.21,0.52,0.55,,,0.55,0.5,0.52,0.53
